Mixture	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample11	0.34569597439902650	0.17981523684377007	0.11161030365712936	0.00954544057006621	0.01077668506036838	0.10503279261879866	0.06468891140145182	0.00633668258067594	0.13558788271020242	0.03091009015851055	0.00000000000000000	0.99010455821010024	0.33746552420067455
mirror_db_sample12	0.35993654219061694	0.08827636217063657	0.05338050317427196	0.01584320142715586	0.01365134417967804	0.13654726978063325	0.11586949567066092	0.02632173718241073	0.12949703866413545	0.06067650555980027	0.00000000000000000	0.99132367910917563	0.28827491971282337
mirror_db_sample13	0.41274281444713018	0.15667563726760117	0.08745244571871272	0.05323848164147925	0.02838563450492800	0.09792304880154808	0.04840997003660590	0.00000000000000000	0.10285531630090659	0.01231665128108816	0.00000000000000000	0.99527282885350787	0.30727189802760052
mirror_db_sample14	0.37936730202350111	0.12736654103278550	0.06110963277322481	0.00313459710087783	0.03901300382252786	0.11821272184798984	0.08289244788651993	0.00000000000000000	0.15983651014512215	0.02906724336745097	0.00000000000000000	0.99485050483826665	0.31305220109406545
mirror_db_sample15	0.31227962057382552	0.12538134794263311	0.09257032179817876	0.04274358121750056	0.00000000000000000	0.10532513315086982	0.13836693487386123	0.02898753067246458	0.13201729958185457	0.02232823018881185	0.00000000000000000	0.97852228874702629	0.36609308823724679
mirror_db_sample16	0.38253220679039790	0.11700218618986834	0.05673084598588563	0.07576299112877830	0.01912325866394247	0.11808451875576891	0.11239054279166479	0.00896383911470345	0.07365129973661787	0.03575831084237251	0.00000000000000000	0.99361049673967428	0.29665819697062207
mirror_db_sample17	0.36747871747059846	0.12384216346995319	0.02223361610594741	0.04015880433657096	0.02279420636280043	0.09686402531380253	0.16432293912659021	0.04425752710770286	0.07460889843430522	0.04343910227172906	0.00000000000000000	0.98909306377310890	0.34895553461816803
mirror_db_sample18	0.36488023257515734	0.12933932076048565	0.07208945515568504	0.03720288529799369	0.02832315919992719	0.11579654223944905	0.08771297225432342	0.03102475023160510	0.11885106808539880	0.01477961419997477	0.00000000000000000	0.98923982352361006	0.31638858030639461
mirror_db_sample19	0.36576277770269378	0.11528169363652747	0.09134992110688293	0.08678582430667803	0.02082111498005577	0.10055856658130598	0.10815593967275594	0.00216662123924052	0.09936616465773644	0.00975137611612311	0.00000000000000000	0.98784423545233380	0.33133130311023673
mirror_db_sample20	0.32158277216248593	0.14402466488702942	0.09698935737630793	0.06865337777942659	0.00601830483250381	0.08001837213307429	0.14044150078019701	0.00906389214941150	0.11140619068859317	0.02180156721097037	0.00000000000000000	0.99168964036402452	0.37210568696462593
mirror_db_sample21	0.35266361333246787	0.12688003226560593	0.06081518915938976	0.02394542678217554	0.02958129391792267	0.08916480938808252	0.12951278628000934	0.04505860313931116	0.12245391306344749	0.01992433267158786	0.00000000000000000	0.99241623460325545	0.35241214247421693
mirror_db_sample22	0.37768718949964397	0.09903726998823825	0.06323340644765793	0.00000000000000000	0.03630025525531025	0.11462028110584326	0.12066995736575699	0.02274624881855899	0.14396588506241115	0.02173950645657930	0.00000000000000000	0.99374992903719173	0.30888426013213582
mirror_db_sample23	0.39100179086522852	0.11964557427374321	0.09720996087296876	0.00055871211992410	0.01327467588240639	0.09786259938986579	0.12290384530631930	0.01569990829687329	0.08353749633077584	0.05830543666189465	0.00000000000000000	0.99554047366840293	0.30261401354946410
mirror_db_sample24	0.38397110560896242	0.14758193050719573	0.06612641990783640	0.00000000000000000	0.03913040840380318	0.09466744021810604	0.10290799320829346	0.03251453947602558	0.09403488243353865	0.03906528023623846	0.00000000000000000	0.99245916188254235	0.33258335917101356
mirror_db_sample25	0.38660121166411965	0.15477615333020142	0.11001355353438984	0.05089932183758204	0.02226349470933477	0.10163993315022188	0.05741002790417757	0.00267056149204045	0.07870950917749173	0.03501623320044054	0.00000000000000000	0.98666695701841278	0.32090630662669256
mirror_db_sample26	0.34176650871335024	0.11722959702257693	0.10495195185268247	0.07470643053115908	0.02839549712411090	0.09850081467570787	0.11567443506662245	0.00000000000000000	0.07125884828016130	0.04751591673362887	0.00000000000000000	0.98485775336348269	0.34317126778717710
mirror_db_sample27	0.32970506152386220	0.16672277878327213	0.08219324601616296	0.00000000000000000	0.03177637447763425	0.07968005269044096	0.13128837944901328	0.02310171710290145	0.12937945945054166	0.02615293050617103	0.00000000000000000	0.99149555799627531	0.38204817259876561
mirror_db_sample28	0.38693804097897538	0.12300457438104018	0.03647552829346577	0.03574974741975761	0.03299714086126720	0.08792604055259910	0.15598235714170888	0.00509127966304590	0.10637440013059836	0.02946089057754175	0.00000000000000000	0.99135859804407989	0.35662434815524291
mirror_db_sample29	0.32143545838007404	0.18878075271662301	0.09147080687724526	0.03944608886967805	0.01645264605557579	0.10430679713173652	0.06761167399704855	0.03799518599981664	0.10782942631507131	0.02467116365713072	0.00000000000000000	0.99243601396676395	0.34107427519154171
mirror_db_sample30	0.32557679161931879	0.10276637346862950	0.14042864972830510	0.06725830358972779	0.02579099345699833	0.10932407050224770	0.10065731002056720	0.01929343598135266	0.08778732811794279	0.02111674351491002	0.00000000000000000	0.98630780189938883	0.31680878989964356
mirror_db_sample31	0.35515755324273618	0.14472010333494140	0.06716554453271570	0.06360842570826900	0.01939742742170662	0.07890007423546529	0.14740443727460312	0.01924458006702064	0.09602955773518437	0.00837229644735782	0.00000000000000000	0.95185976836172648	0.43120615772763943
mirror_db_sample32	0.39002780169672074	0.13017522430937073	0.04053318381136140	0.05430217076369193	0.01200750660677057	0.10799352678142116	0.10638155976349220	0.01833202189657816	0.09576733026394216	0.04447967410665089	0.00000000000000000	0.98445808074052421	0.33575120143583037
mirror_db_sample33	0.36529438005379550	0.15643361445350015	0.05445484826898805	0.06260052542765150	0.02934554369408041	0.09854929094585582	0.09271273158403692	0.00000000000000000	0.10746893596398220	0.03314012960810946	0.00000000000000000	0.99038118020536337	0.35172484292055423
mirror_db_sample34	0.38697107120083379	0.08471539352847081	0.04145424526998303	0.09267500177572827	0.01840269421737410	0.11241291268526729	0.11377589634454562	0.00000000000000000	0.11932404733054311	0.03026873764725382	0.00000000000000000	0.98619782414881940	0.32663760045010037
mirror_db_sample35	0.43945993206053047	0.16009810473041572	0.03536785391743060	0.00819831008495850	0.02054118270128557	0.07100721272249282	0.11067917141868203	0.01137290828470677	0.09403109960331821	0.04924422447617945	0.00000000000000000	0.99305562574562345	0.35210030049596686
