GeneSymbol	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
AGAP1	116.42277557763344475	265.15414033369455638	87.41576173133428540	185.81194062698625658	262.31037491558993224	118.37393561188154933	94.78871895611524678	123.11430983687483831	163.00459095388853825	204.46577248159354667
AGAP3	237.16367471860726823	144.74135496208342033	202.05336005757519047	196.54985905151033876	240.85618480389732099	142.01594066457266763	200.73127004390312322	201.32871853831244380	169.00891258332325151	133.35998467780729015
AGFG1	256.64463054401170439	281.80219391656055450	252.66147973983612474	328.70658330956746340	402.57801843106375372	131.95823247748990070	254.19848424860779801	304.65328689308239518	274.39771424019710366	325.30125832664458585
AGO2	224.88039995929523229	336.73141930117003540	153.05505709981591167	399.78496394733781472	467.46220149220573603	171.23721122344232981	249.93514394739102613	275.15008311234220173	386.10023215091950988	283.30613803200662915
AGO3	326.40103219996575490	333.78902827112347040	297.19978134900628675	381.49057520711505731	679.20842939329759247	142.12094097912100210	260.27953883742299013	237.54208168902115972	325.01736004731327512	367.76610963082271155
AGPAT1	326.33210339263632704	301.55024990273449248	274.28230925507182292	214.04380302465230557	146.02786488826913569	243.86928502035851807	308.45513406677378043	362.28787295533498991	272.70728344998167358	207.06822086065230337
AGR2	65.32817705260757180	90.61856522136777414	38.57603061961717827	799.76639824599612894	255.77340192524425788	0.00000000000000000	200.48990544298081318	149.23442916883465159	101.73448887008829900	65.80117802003022121
AGRN	219.60810696438790046	728.09242300944515591	198.14607484569108919	286.92049643964270444	423.97089065351127601	143.83423200252397578	300.29225609980164791	242.48232047608144057	303.85337710065545025	174.96225164491735882
AGT	48.83737579476310486	174.39991368492781021	45.77809311866766251	97.02780829034152532	39.14566875506719867	0.00000000000000000	30.19346173953452706	33.82954817645460110	142.87541429029823803	585.30716444865765880
AGTR1	93.82393649161066662	114.05920314432259488	70.88089969940449464	122.20154147558010038	123.22472134605170879	272.61591407626798400	37.03486855465211391	124.11733502822404773	132.49929007065338737	148.00720930379080187
AGTRAP	729.73037248167622693	408.56158636073342905	954.59788914484272482	566.22387313806666498	348.75274754839347224	650.59280102698653536	817.40069905848497456	832.66768208043549748	384.29916089955497682	397.02841799747574214
AHCTF1	202.83162067299667797	278.50716111027389843	168.19853548678077004	235.26524663474236831	361.76068693161624878	176.04909496974306649	263.95952180978582646	171.51204329667439197	262.83090978844973051	228.41712972291853134
AHDC1	201.50480862587332354	281.21362712417715102	170.60988847882168784	132.93188739575293766	295.77938610820291387	255.37781886293387856	156.91527786728545379	131.80241152275524996	286.19323648609469046	247.23750734664793072
AHNAK2	451.54290362267011005	95.87266025396125713	210.30929443257562639	307.27484526210491822	872.51855092235007305	445.78598645483435803	133.27054460107751765	945.39014260685814861	124.11995202606298960	145.64768829361145208
AHR	267.29117953843041278	364.43432823056923553	262.94101962313771992	367.95637884089961744	354.19541901986821131	248.51321757153198178	200.76670061748811236	210.20414323756622821	323.85033105785652197	468.66660988486933093
AHSA2	316.08141919175693602	305.88710453731397365	250.37334078913156077	364.67777227714913124	574.38846893724303300	162.28809609432096295	185.33809635632445634	288.15533569580060202	295.47031381371709813	269.16571078863933053
AIFM1	134.45262283951362292	151.94721229309084265	129.67028214373209494	120.04200142148627606	87.88667248518159170	151.09822844546715714	217.95409113206048346	84.36603008813197846	143.26475452979806846	122.47894824029194183
AK4	155.37651952077101214	79.30549895780332292	112.18342784590363692	261.18813360319802541	476.72182867029766840	45.93170728419958238	141.40610906532148761	656.82143891703992722	112.75462058945737454	103.96055328673602958
AKAP1	89.54652821545602137	189.27612338409386439	86.92787789117473096	210.58327346807010372	193.78247037734243463	9.85699956609685302	72.83801471621380585	86.45294128985698023	541.21375896792062576	212.90797056812991173
AKAP11	294.76690867874634705	297.34845542844124111	305.43099158911007862	294.08313349929233027	307.95053832107964809	147.01206922110716846	247.60062734786444594	332.89876246202305765	295.76445177203368075	298.17979468228338646
AKAP6	23.45054513887269110	96.61378230433602710	17.53210481988874037	34.35809234483682673	35.07147765169139575	0.00000000000000000	29.74018918360548724	32.02593174810543530	239.21275985467079295	23.36054935669369570
AKAP8	139.64998135060122308	230.11823150844381303	145.13089288693137746	179.37535748941036218	279.74151561702160507	102.47203572700021823	149.57232722508521761	144.07665156476630841	260.09883639355552987	182.42374718318760074
AKIP1	266.16892432999333096	232.84039584289686786	225.81448273998441323	247.18448578530177429	97.41058203146737071	102.37173233218470614	296.09262178612652860	192.89264808656685091	237.18573428806308812	155.48453109421512863
AKR1B1	496.92475880604308713	289.48642841200017983	504.59541268793725521	461.81974812148877163	332.60027830741069010	429.65717123988554249	496.51339023276563012	437.13315717230557311	332.50324180812049235	316.13718719507932065
AKR1C1	86.23454963811570906	46.64412395852541238	60.92775434580539695	84.12345248949850429	127.59783333984492515	382.10369301055118285	68.70627905974066607	98.08614099524881169	97.69274596256327925	201.21369296898569701
AKR1C3	302.71362970440429763	273.63205860065284014	266.56341125436483708	261.57980245997589464	182.37538703828110442	977.93906230107972988	280.66713621605970275	252.39842642699221642	399.08172391845931770	475.56409967916579262
AKT2	326.11737393731186785	326.17340409289448644	341.57824459354799274	339.63391676049189982	575.11439452594186150	218.36974186041155122	255.93253630740454696	305.09666354558629564	341.69291757439481216	352.63280953618675539
ALAS1	180.12108530252643845	353.89246534536499667	286.14367013179122523	199.21137396147918253	224.29926005337716788	196.57157763278561902	197.00218794660702315	201.16001256268643260	398.39338350010632439	149.47439170017420906
ALCAM	120.41828972125344421	189.12927035146353205	100.93449097636171530	284.74803729852612832	212.60829627622410953	173.23308482327357183	353.41356607837991533	189.14837132604401404	356.06363142959691004	44.96233710023464880
ALDH16A1	136.66318751650436525	215.77406243546536757	200.26933970878619107	182.21659028395700375	134.63344141292168388	166.99754335461261689	309.07849915120027617	108.62988179146304901	181.89441496358844574	244.04810504289326900
ALDH18A1	321.54214059307992102	167.17067633840991903	211.11309118698261500	202.02017645599212869	143.49078411460700977	189.02730956937551809	341.25752151425223246	287.32619194066495538	168.93739310746889259	138.17583085361167150
ALDH1A1	533.69290252278835851	132.66651164989036715	357.70227988077141390	327.32596804512320432	308.58329382372653527	1361.97424255294049544	259.26360294412415897	381.72028359934995478	200.16027558561668798	757.88465314895495339
ALDH1A3	498.94337433588907516	119.12689892008111769	765.28998667738380846	364.74693847293394811	380.94278063356443909	666.34263741520783242	445.36789234206992205	331.59055373461234240	120.41431020461230617	173.80294311923788086
ALDH1B1	391.21525931231559525	121.30428121713768519	289.71369809992035016	200.04656324328806249	89.65032271586541412	93.65471583537684808	300.34791462990784794	311.56935185645409092	220.20538548716032778	129.12423874488706588
ALDH1L2	371.96008049016074892	129.90576936152999110	223.47967711678953151	128.11798741668386015	162.75360185437449445	162.65702523422714876	455.03383478805386630	260.90182347995227019	116.46274474303349677	75.22846893927619760
ALDH3A2	136.73095364417139308	118.56868638049164133	120.23702833518463251	134.76405423295727815	167.78025165187091261	276.56281201149272420	165.08089615627557123	131.12701045357795238	206.89770043883737571	244.75674466786608718
ALDOC	62.71722626911022758	41.40538995183961646	30.97156525074793265	62.65904999494867411	113.23304773357766351	15.24375198068821291	31.29216375117233895	290.39422700026381108	47.21126824179383874	54.72650625958708304
ALG8	139.61402297426408836	112.66317039929704436	124.38018801685143444	159.29860010509952417	100.51587125941890122	150.10862372115030894	225.23636054318546940	113.25957012897090692	90.92893992243456580	89.43065630562011847
ALOX15B	50.64794655693852121	16.06970698822795640	27.16303587825757404	42.67018798309946703	107.62202106277830183	12.04066752488150804	20.63218972707699805	237.21434772100732857	10.74407029761981924	5.36264005967264534
ALPK1	133.00326527586832981	128.04570925479069388	186.79017981899920642	120.31164150392625345	260.11348116926347984	121.19184540422135399	86.02940149878581622	174.60365210393123903	127.71433280777151253	172.22659730284607349
ALPL	232.87863602956457498	83.89675633326928050	389.51955945254303515	290.85363191676805172	123.64509052652688581	938.06847985247804900	562.62332794538986036	217.90746659796019458	86.43532537773694457	85.78965474514636469
