Mixture	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample40	0.47225337423143465	0.06267971316830089	0.15738743637563968	0.14467864370505398	0.03415950745373424	0.12884132506583651	0.00000000000000000	0.00000000000000000	0.99607499233296726	0.38220995919217288
mirror_db_sample41	0.36143817861213223	0.17407880668740569	0.25675835051242146	0.04652476330941039	0.04262914954136614	0.10170219817883905	0.01686855315842518	0.00000000000000000	0.99673512013870025	0.41121122572720442
mirror_db_sample42	0.40626471874207343	0.21135319855386536	0.11664109899778767	0.09778183574548277	0.00776193506166671	0.15857480996294984	0.00162240293617408	0.00000000000000000	0.99682791794471737	0.42885942536936505
mirror_db_sample43	0.38790677796825163	0.10307440825655796	0.26467167418899984	0.10034130891832582	0.04554947784057486	0.09845635282728972	0.00000000000000000	0.00000000000000000	0.99583544055877071	0.37975475989701468
mirror_db_sample44	0.39478087255741362	0.07646450622124305	0.21300304106926329	0.09783579032329419	0.02008657048856045	0.17814231145856438	0.01968690788166098	0.00000000000000000	0.99546759428344700	0.37980814835993792
mirror_db_sample45	0.40191266424467326	0.12379219655004174	0.20505082428293062	0.13483852980796526	0.01247485648878097	0.12193092862560806	0.00000000000000000	0.00000000000000000	0.99591765097354867	0.38342847071861463
mirror_db_sample46	0.38830514558719337	0.09190710183227439	0.32601647359634545	0.03940779879464932	0.00582325855609501	0.14854022163344238	0.00000000000000000	0.00000000000000000	0.99596581961643016	0.35285372576102142
mirror_db_sample47	0.34182126943231406	0.10941556146458345	0.19441079359396798	0.03690555226141758	0.11852219636334700	0.12408986067431603	0.07483476621005383	0.00000000000000000	0.99666148355024387	0.43470954530872374
mirror_db_sample48	0.37834114633948462	0.06002930389033682	0.20934363849067053	0.11894058740221121	0.05704774535165522	0.12237116177268112	0.05392641675296064	0.00000000000000000	0.99640520634371244	0.39016760994852079
mirror_db_sample49	0.39907555157997376	0.16158385340730222	0.22767307046193702	0.05514306069258795	0.04156627401885025	0.11224355781363118	0.00271463202571761	0.00000000000000000	0.99740988281866561	0.40820245099585328
mirror_db_sample50	0.33822616973394748	0.11285105711469803	0.28893253225094201	0.05350207749995663	0.08377334151778566	0.10997321094802955	0.01274161093464057	0.00000000000000000	0.99434369731947403	0.39703695053918264
mirror_db_sample51	0.32652969340869786	0.09096861843857341	0.33706902199452560	0.05512758925692745	0.04829407552508389	0.13189963323878201	0.01011136813740982	0.00000000000000000	0.99636051380700374	0.36183420654796139
mirror_db_sample52	0.40254567071403713	0.10008173946908445	0.20403283700377114	0.11264301310961797	0.04357555226305517	0.12948637422167647	0.00763481321875752	0.00000000000000000	0.99716930360649170	0.38966885466873141
mirror_db_sample53	0.34215410680334379	0.09881185558312129	0.23703143165185361	0.07248448822022154	0.07867562915608875	0.13071521148182452	0.04012727710354654	0.00000000000000000	0.99684953386272968	0.40356705469366061
mirror_db_sample54	0.37162546774576011	0.10684385618412987	0.11845106039177658	0.15594490295077607	0.12023495968786130	0.12689975303969619	0.00000000000000000	0.00000000000000000	0.99497057813022582	0.41970384587845427
mirror_db_sample55	0.41041851602042140	0.08553969380293956	0.12424404014981633	0.15883075399056948	0.04929485538201182	0.14162062447695536	0.03005151617728628	0.00000000000000000	0.99627004782718476	0.40216743989410203
mirror_db_sample56	0.36483473918684128	0.14579939021581717	0.20546887376027337	0.09902124900262031	0.01736497356625270	0.15041881157250267	0.01709196269569241	0.00000000000000000	0.99701797201925002	0.39760613611149576
mirror_db_sample57	0.43444948799924965	0.14415200371120204	0.09926561154618566	0.08832859449986810	0.05334733980323307	0.15565719471286008	0.02479976772740135	0.00000000000000000	0.99557897372579196	0.43791242088047994
mirror_db_sample58	0.35988809190514992	0.16675294315962652	0.24700892438702932	0.08029346434858184	0.01254900017968368	0.13350757601992874	0.00000000000000000	0.00000000000000000	0.99644521631312066	0.39071707656299326
mirror_db_sample59	0.40173126533777764	0.11736433510033932	0.28069590040491804	0.05879478866113684	0.04826885630447167	0.09314485419135653	0.00000000000000000	0.00000000000000000	0.99718027694226996	0.38526138485717359
mirror_db_sample60	0.37235751340370649	0.07821778262760841	0.23617725768024603	0.08975424771395672	0.02019312007607859	0.15352708040676322	0.04977299809164054	0.00000000000000000	0.99690048590962788	0.38078584897575185
mirror_db_sample61	0.34318571929723307	0.08333187072873967	0.27706911562831632	0.04997935367450352	0.11681766821369571	0.09284960235295681	0.03676667010455490	0.00000000000000000	0.99423445268614774	0.40891198810783230
