GeneSymbol	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF
AKAP8	85.55916804337509518	179.86011132641471022	57.97420840036217271	84.69909598736627743	21.25494138798867638	83.46578545535905391	211.45386981535673954
AKIRIN1	210.90779270693590774	244.65226660252318425	308.58900719501991716	289.23496078182233759	101.40036547666163358	349.81234415232904666	0.00000000000000000
AKIRIN2	219.07139642106221800	321.11798765544909884	258.59288917111496175	295.58665224898521728	601.29550629594450584	154.76334073750254561	364.43304123444659126
AKR1B1	578.23280914223130367	285.40357528351290739	527.17679939310414738	144.79423794266648429	479.63008926700899792	433.33342926613755708	0.00000000000000000
AKR1C3	135.29883540453405999	159.11755273985690451	269.90419907377662412	162.41020002103414299	58.30218232421899671	261.97866202115704937	589.23436655956049890
AKT1S1	288.35919627909157725	259.65993717533507379	327.65269748920019310	99.06160275679695815	115.67269907866051426	296.55727910208094045	134.72539973246111344
AL118516.1	87.87034645145466527	69.63647720316414791	73.63556170624438835	78.83898983311436837	102.01281477648971929	137.04232355542615096	114.16697790463587125
AL121933.2	124.66114164814300125	43.75895435607934303	75.51764544147067681	25.17146587993495643	180.14741025810363340	101.08170466385148245	9.92611792621466549
ALCAM	63.87899716360421110	129.48332788252059800	104.87593047581613348	115.38187787079746727	167.46194846828916525	49.68622380587895293	0.00000000000000000
ALDH1A1	214.71585133123085143	40.32906126572770944	348.42693935212946599	82.17406398755417740	98.16706720338882519	770.15222184260585436	651.06479914786632435
ALDH1A3	692.13047728341200582	187.81836143054695754	555.52673516584479785	134.04657608155559956	476.82934334179333291	1347.86800127346941736	0.00000000000000000
ALDH9A1	295.42164145210608694	301.40790363057760715	361.02273073550964000	181.15367364509737058	574.63185454789902451	442.90988554792483001	357.32741999888872897
ALDOA	617.36189728083684258	330.71474144118218419	1384.51974891130316792	507.58092554830017207	799.32214647311184308	437.35968910127775189	0.00000000000000000
ALG13	145.05514548721296819	150.70014171801830116	219.80675139844402111	286.87002139867286132	70.08465019791100303	0.00000000000000000	663.52682947055973273
ALG3	421.34326697317112576	341.15242074063257860	308.14962450122345672	112.10724544720807216	397.17607950865101429	328.47670529809022355	59.24296222318750438
ALG5	549.00737356450122206	461.56732573947482479	457.89930629072711099	288.98382325797524572	202.83924371188530245	495.97371590745439107	481.33977302752992955
ALOX5	13.45485033280628961	21.24620572423934206	11.20801692158282314	22.25226711255293921	174.10369633228393127	0.00000000000000000	58.58682375619540750
ALOX5AP	170.35306672372837511	270.70367762042798176	342.28827405957906649	118.90205856709089005	4034.83805852870909803	0.00000000000000000	196.37953710445410138
AMD1	282.35542440976252010	258.65978901489364716	394.63031853052456199	371.13056413423589674	736.67880967875009901	162.92772576398033380	926.36590996121515218
ANAPC10	142.18828221480580964	221.23829316065075545	305.91177763580765259	136.33914505937249828	156.78046172137837289	178.00494414229950735	142.80884147856468758
ANGPT1	115.84562494687355638	313.43100779073967033	226.60573383819098581	344.87884061650987633	291.04560764594958755	103.13366991885720836	522.51865810630624765
ANGPT2	101.58153162878448938	734.37055892134492296	145.60147764765429201	513.78591653471289646	158.42366345839667474	0.00000000000000000	1242.75579930725780287
ANGPTL2	1451.39655138725333927	393.55204306962690453	812.34015896843868632	351.46410097052563515	301.35965641832655137	760.64702964138314201	356.90414759298960234
ANGPTL4	1690.25090732847138497	636.29024887605703498	2851.30764887086161252	947.50743429195904355	779.94596581911628164	1812.18244064240820990	72.24796910004909023
ANKH	658.91294422223847960	149.93608999836331463	213.75301468021919504	7.22673410119519755	179.83171784534059157	328.34152453167416752	337.60436670566360817
ANKHD1	205.24733510986496299	290.00319749212440001	220.10002386954531062	112.84030626950395515	312.35500513730755756	193.08564691220263398	211.97239265586750889
ANKIB1	213.73622696530782150	173.39451003844237675	263.79150711178158417	60.46509687317204396	37.00262458012981881	272.21654448687030481	154.68630818668253823
ANKLE2	309.20100153589578440	190.12963916386854635	194.23136118936071171	201.40116690625046658	181.12680006492021789	336.57367058488569000	116.39407408198354688
ANKRD11	367.49609653999584680	509.30589035455699332	284.42458503920153134	255.93884254643663212	228.78783388612353633	356.63794407976860157	144.31213668249620241
