NAME	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
SDCCAG3	1.00000000000000000	23.51951157592419150	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SDHAF3	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	29.54384341725956986	27.31082063601541421	1.00000000000000000	1.00000000000000000	1.00000000000000000
SEC11C	1.00000000000000000	37.90540031211980931	1.00000000000000000	1.00000000000000000	104.13927740450814952	60.52097877010199056	57.76417302016366051	54.37132355579181109	56.29922803779864182	1.00000000000000000
SEC14L1	1.00000000000000000	27.37086818416495859	1.00000000000000000	25.70228952752525942	1.00000000000000000	25.44389124012043624	44.06657714135245385	1.00000000000000000	1.00000000000000000	31.94351042411934216
SEC16A	1.00000000000000000	24.90446426850764894	1.00000000000000000	22.53757859402396591	1.00000000000000000	23.19479303241035240	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SEC23IP	1.00000000000000000	24.81699249083387571	1.00000000000000000	24.57524570220640570	1.00000000000000000	20.03142243000220191	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SEC24A	1.00000000000000000	28.07558452525831427	1.00000000000000000	23.58355460945114146	1.00000000000000000	30.43541145867713027	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SECISBP2	37.15634639672271788	46.96751318042304035	119.80253018766310902	36.66344275792749841	1.00000000000000000	35.89257104309886870	49.39228291993494935	45.51400449383922364	49.66120871470779718	33.59385608142669355
SECISBP2L	37.08574255278858800	38.41822549413985399	74.19719255454091922	43.12571248712436756	1.00000000000000000	25.76316214408038618	33.97800798244711018	46.29938659196020723	40.54426425442103010	1.00000000000000000
SECTM1	1.00000000000000000	1.00000000000000000	1.00000000000000000	31.30905908187867936	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
