"","apCAF","dCAF","hsp_tpCAF","iCAF","IDO_CAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample64",0.0271373947252176,0.0401579912727398,0,0.235009061843209,0.0247903728863746,0.41066561688913,0.127305871269487,0.0162375177268412,0.00363325052072568,0.115062922866275
"mirror_db_sample65",0.06108286179142,0.00696731664771422,0,0.206459992606518,0.0713948343553459,0.366804948209054,0.123757717734016,0.0175305291364742,0.0197919644224883,0.12620983509697
"mirror_db_sample66",0.084895991875938,0.0303034831250804,0,0.224206470490944,0.0728508364193019,0.367346020778898,0.0937323574162252,0.00658221506878733,0.00668388467833529,0.11339874014649
"mirror_db_sample67",1.34081203847878e-22,0.0333788041252469,0.035275181774836,0.211998198911466,0.0638908032254907,0.393991395746676,0.148538859003624,0.00552148566594208,5.93770766395621e-20,0.107405271546718
"mirror_db_sample68",0.113955420853701,0.0208457916240351,1.43842835375411e-21,0.23310814961595,0.0767087296834673,0.313157374573742,0.125160476019794,0.00390783841712752,0.0154407310130952,0.0977154881990878
"mirror_db_sample69",0.0465937818783634,0.024649688752918,0,0.21571019892233,0.044706013316773,0.409972637277488,0.10666329714522,0.0213965966886332,0.0124348602797205,0.117872925738554
"mirror_db_sample70",0.0111440118590479,0.0365816763032375,0.0400190909854237,0.193909540344622,0.0604660752277111,0.419194861909644,0.103249091345333,0.0171981281648555,0.00629261123601565,0.111944912624109
"mirror_db_sample71",0.00179277631449955,0.00497512967799875,0.0910481649252946,0.260761094471805,0.0355341075565147,0.36441847547099,0.109078639468391,0,0.00280195932884861,0.129589652785658
"mirror_db_sample72",0.122809490340407,0.0167508028913511,1.70549631457239e-18,0.242200191944748,0.040219153305959,0.364123830560843,0.119244714064049,0.00395307846838225,0,0.0906987384242607
"mirror_db_sample73",0.0104030591136296,0.0175433882779561,0,0.239865280465964,0.0762454334325514,0.371604308926469,0.136750671063621,0.00652210767155676,0.00825937595409269,0.132806375094161
"mirror_db_sample74",0.0615788156789435,0.0373409447906533,0,0.228583193047261,0.0535357833506997,0.334023057829341,0.115257234003017,0.0309071564389778,0.0180010167954248,0.120772798065683
"mirror_db_sample75",0.0273741617036604,0.0132046607945176,4.65140681958318e-20,0.262729511887568,0.0427928631471401,0.416712895490077,0.0967998549272641,0.0109962108798582,0.0157163674620314,0.113673473707883
"mirror_db_sample76",0,0.00963499612428536,5.66956283440832e-05,0.266190307748317,0.0756109326183308,0.351233132212155,0.144040671485266,0.0135927419821826,0.00995030039024889,0.129690221810871
"mirror_db_sample77",0.000996648676094712,0.00477986408532974,0.00462333241602893,0.246792203628394,0.0824818698731019,0.356584933173451,0.107706712921445,0.0149736561695335,0.0158871332545326,0.165173645802088
"mirror_db_sample78",0.101246107177524,0.00361131835602161,4.51612761603782e-18,0.250695573291954,0.0501894105448361,0.357025979235631,0.124856119377931,0.0136570823239629,0,0.0987184096921405
"mirror_db_sample79",0.000303034532452273,0.0143313038326634,0.0760517848575973,0.234837856350859,0.0794704063807573,0.325312960782862,0.136796496065455,0.0123208152241743,0.00175431361378791,0.118821028359391
"mirror_db_sample80",0.000607177456307173,0.022515567762741,3.51113505515962e-19,0.221976416172499,0.0808235252435211,0.366203500100797,0.134024777529832,0.0201058976111848,0.0203966255437395,0.133346512579377
"mirror_db_sample81",0.138369043876795,0.0453545806195791,1.11928172081951e-21,0.18468696456139,0.041392052757547,0.34066106023284,0.104153782429533,0.00661559478306317,0.015981974355397,0.122784946383855
"mirror_db_sample82",0,0.0358309999341342,0.0487023258452593,0.207239339150726,0.0450632208544255,0.452549011043911,0.0896405359356304,0.0153653210293773,0,0.105609246206536
"mirror_db_sample83",0.0274654158126355,0.0217167621781888,2.36719212181923e-07,0.210607214357915,0.0670795227210245,0.365444183458649,0.134187667972569,0.012683362747572,0.0259133276033022,0.134902306428932
"mirror_db_sample84",0.0621587347318871,0.00598565575177402,0,0.228263686588294,0.0292839360256607,0.374618268302436,0.149659656387247,0.0172853270406817,0.0244125079960038,0.108332227176015
"mirror_db_sample85",0.00700374768240905,0.0319442192385443,0,0.24521357019238,0.0205307828266769,0.401050750181651,0.161584813236251,0.0147365921889422,0.003433748874282,0.114501775578864
"mirror_db_sample86",0.000128386276236671,0.0658126579527251,0,0.220831120825849,0.0391780022383497,0.423764691788925,0.103919155744586,0,0.012613033586228,0.133752951587101
"mirror_db_sample87",0.00494684120095797,0.0386819050658561,0.0402384620922807,0.221104691122653,0.0911493061779114,0.327048634445004,0.143713300080002,0.0155109201444078,8.31299416334051e-06,0.117597626676763
"mirror_db_sample88",0.0605848315077652,0.000552887450353838,1.26509593651065e-20,0.271542318334306,0.0652481947577442,0.32301172082603,0.131308397963841,0.015916993558156,0.00420050117399954,0.127634154427804
"mirror_db_sample89",0.000387441794279817,0.0114239261456757,1.78615510177126e-22,0.31592984672923,0.0780336135737179,0.29969193228456,0.151994386119684,0.0187788240967978,0.0184864127242708,0.105273616531783
"mirror_db_sample90",0.0759039953532034,0.0361523447554412,2.11752445818588e-19,0.251723885897607,0.036984101149216,0.327785718507604,0.127380759686229,0.00928429407729846,0.0167077276205125,0.118077172952888
"mirror_db_sample91",0.0815252652712305,0.00545894625894378,1.04968429613036e-19,0.19665316138864,0.0692190128777398,0.366998574586426,0.123667210565889,2.96617912070671e-05,0.0314349043963498,0.125013262863575
"mirror_db_sample92",0.00594387061174927,0.00072070141489324,0,0.264928158713306,0.0638779901200663,0.408437606911922,0.132715403875929,0.00841163592979567,0.0178800949285632,0.0970845374937749
"mirror_db_sample93",0.0758323509069936,0.00655021712506094,0,0.209344209374393,0.0654175350273218,0.348938483778142,0.12943770269185,0.0073210717176689,0.0144997070598508,0.142658722318719
