"","apCAF","iCAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample26",0.0598343539482951,0.274724737036209,0.344091468035086,0.0936235589399173,0.00592675062918153,0.194961888569046,0.0268372428422644
"mirror_db_sample27",0.0105543439802465,0.320464461084702,0.34613232311328,0.101232750732719,0.0165615113336255,0.181879439440604,0.0231751703148234
"mirror_db_sample28",0.0771713554158313,0.342689349384182,0.315488751331603,0.101299867956646,0.00414399757872874,0.114918328688582,0.0442883496444268
"mirror_db_sample29",0.0215346409716838,0.375619363183463,0.314072339680718,0.098251357272974,0.00667016678990853,0.124558609061984,0.0592935230392677
"mirror_db_sample30",0.010205735440741,0.338087858454527,0.349263423290074,0.108963695529636,0.0281229678988196,0.126621835067588,0.0387344843186146
"mirror_db_sample31",0.0303051129462878,0.314949654493318,0.320330312527272,0.126364914346708,0.00665051330679282,0.148429775336357,0.0529697170432642
"mirror_db_sample32",0.0355740116126779,0.292631842280108,0.338613270389359,0.106829439638974,0.0239522605106603,0.143534230860216,0.0588649447080047
"mirror_db_sample33",0.0329012237631,0.243462685967472,0.379798224781049,0.106450262906113,0.000291527197622059,0.188227654936425,0.0488684204482185
"mirror_db_sample34",0.0610130515117506,0.329388183066945,0.321794362615884,0.0843027185879224,0.0159227387590337,0.143248803322007,0.0443301421364566
"mirror_db_sample35",0.0493065393708244,0.343619772950211,0.37428793110448,0.128467112016691,0.00813011148573765,0.0796013134487489,0.0165872196233069
"mirror_db_sample36",0.024425837197412,0.234117828612957,0.355969494071097,0.134517104668778,0.0135316878083704,0.193659221363257,0.0437788262781287
"mirror_db_sample37",0.0134445348912645,0.377951338655743,0.297964053107417,0.116157005544322,0.00544472018130621,0.158011055414001,0.031027292205946
"mirror_db_sample38",0.0143941709875362,0.399845312790987,0.341102735537341,0.106558335275307,0.00313392524052569,0.0909163589207779,0.044049161247525
"mirror_db_sample39",0.0225813590131255,0.266481018952918,0.300957739827577,0.0897877768951106,0.0197972102102302,0.255339711686039,0.0450551834149994
"mirror_db_sample40",0.0149742064371867,0.308631924507897,0.410599576130521,0.0956111360461599,0.00625572886480029,0.109502370957436,0.0544250570559992
"mirror_db_sample41",0.0148024157403548,0.310532220807669,0.314669708946809,0.136729456226035,0.0123640013007259,0.183757129405399,0.0271450675730074
"mirror_db_sample42",0.00100916640972567,0.291589479615593,0.368799417231866,0.170424335733091,0.00610829803472105,0.125257070486489,0.0368122324885142
"mirror_db_sample43",0.0197664904331075,0.288700960553048,0.336561637839668,0.112680649285049,0.00328802901178541,0.192126477253199,0.0468757556241432
"mirror_db_sample44",0.00848335068044152,0.364709879546247,0.33580377910584,0.10501443915326,0.0176528805496691,0.131449118894773,0.0368865520697698
"mirror_db_sample45",0.00162513326790726,0.32523980187626,0.398674701236351,0.136334961085037,0.00136617202407825,0.0968564867555083,0.0399027437548573
"mirror_db_sample46",0.0076267320257211,0.34635382347905,0.342704512504547,0.104699862599664,0.00516936447400166,0.17765037685503,0.015795328061986
"mirror_db_sample47",0.0570041151095358,0.290694160892115,0.365525129417504,0.109303008056075,0.0391813095210881,0.110612107967448,0.0276801690362343
"mirror_db_sample48",0.0356381414840605,0.280843432073763,0.344382073350424,0.0828164608242471,0.0319055522797246,0.166116656326858,0.058297683660923
"mirror_db_sample49",0.0139241166689348,0.260709394953746,0.343608131815929,0.130436872237287,0.0056882487268119,0.220179777398504,0.0254534581987868
"mirror_db_sample50",0.0473012259483064,0.313207606059432,0.32320366653601,0.114429109223227,0.0106083189898838,0.151580350636247,0.0396697226068937
"mirror_db_sample51",0.0224797830251081,0.367433412507581,0.277164002294178,0.100349438467312,0.00907376458218379,0.202932813036745,0.0205667860868923
"mirror_db_sample52",0.0172097318949805,0.295197635697328,0.346352915158648,0.109805997811875,0.01244373776327,0.175367154102005,0.0436228275718934
"mirror_db_sample53",0.0394819792604428,0.29864551789119,0.325941864659116,0.100500670819928,0.023152124849223,0.179499473217869,0.032778369302231
"mirror_db_sample54",0.0513863999245739,0.288552768381176,0.340689257261708,0.120346260271069,0.00304089874311233,0.141453530618587,0.0545308847997741
"mirror_db_sample55",0.0179691526303486,0.289305366255604,0.342440687457809,0.103221447269116,0.0222538808084055,0.183232636084944,0.0415768294937735
"mirror_db_sample56",0.00989344630838988,0.31645393197912,0.333420081422491,0.140300107414038,0.0151063498513923,0.138436934799746,0.0463891482248226
"mirror_db_sample57",0.0254463210681382,0.357395945018387,0.348299950722351,0.120458193560848,0.0177615106242179,0.0805985487731602,0.0500395302328979
"mirror_db_sample58",0.00912367631638855,0.328640265778896,0.321916862933,0.137658583539951,0.00306822766276772,0.155212645597711,0.0443797381712859
"mirror_db_sample59",0.0188294758803018,0.260473010535996,0.372151320545985,0.119497265031178,0,0.206056563000706,0.022992365005833
"mirror_db_sample60",0.0096899191573067,0.336180562574209,0.313099387845054,0.0848582285407404,0.0252291297801046,0.187608333803169,0.0433344382994168
"mirror_db_sample61",0.0620973323047517,0.316972263612076,0.317750544545884,0.0783615586573398,0.0218395502312523,0.16340497507889,0.0395737755698071
"mirror_db_sample62",0.0205398905838161,0.307880373200098,0.390202036591277,0.12268562530885,0.0033289633783595,0.109511132706542,0.0458519782310573
"mirror_db_sample63",0.0205986901293289,0.327963567220001,0.318786986728294,0.116115104242623,0.0163324466593013,0.158494257149423,0.0417089478710287
"mirror_db_sample64",0.0489153762952953,0.270171319288015,0.336614631598774,0.118801572268551,0.00754268434465159,0.179758404886054,0.038196011318659
"mirror_db_sample65",0.0104233995869659,0.264960142404858,0.346024335717192,0.131851082416171,0.0075309293909052,0.193106980100306,0.0461031303836014
"mirror_db_sample66",0.0496424887477833,0.2997803257742,0.308077700927099,0.135698408035976,0.0152341570304316,0.168265187818997,0.0233017316655133
"mirror_db_sample67",0.0225611689497743,0.299190378177081,0.370935183082045,0.104373481246573,0.0140405764923794,0.156667030315192,0.0322321817369563
"mirror_db_sample68",0.0607769723267671,0.306350736093878,0.329180690974537,0.106644860025081,0.0167816059314399,0.130285183196723,0.0499799514515737
"mirror_db_sample69",0.04719456644731,0.3009262284879,0.308863239346975,0.0925069760079445,0.0232522308716397,0.185444828816476,0.0418119300217549
